municipality_name,date,temp_mean_c,temp_min_c,temp_max_c,humidity_mean_pct,rainfall_sum_mm
Nabunturan,2023-09-06,26.70,24.60,30.50,85.00,13.50
Nabunturan,2023-09-07,26.50,23.80,32.00,85.00,5.00
Nabunturan,2023-09-08,26.40,23.80,32.20,87.00,16.90
Nabunturan,2023-09-09,26.40,23.10,31.90,85.00,7.60
Nabunturan,2023-09-10,26.30,23.60,31.00,87.00,15.60
Nabunturan,2023-09-11,26.70,23.90,32.70,84.00,27.60
Nabunturan,2023-09-12,26.50,23.10,31.60,86.00,40.90
Nabunturan,2023-09-13,26.40,23.90,31.60,87.00,36.40
Nabunturan,2023-09-14,26.80,22.70,31.70,83.00,7.50
Nabunturan,2023-09-15,25.90,23.60,30.30,89.00,25.00
Nabunturan,2023-09-16,25.70,23.40,30.80,87.00,26.10
Nabunturan,2023-09-17,25.60,22.80,31.00,89.00,24.60
Nabunturan,2023-09-18,25.60,23.30,28.10,89.00,5.00
Nabunturan,2023-09-19,26.40,23.50,30.90,85.00,2.80
Nabunturan,2023-09-20,26.30,24.10,30.30,87.00,8.90
Nabunturan,2023-09-21,26.10,23.40,30.40,89.00,11.40
Nabunturan,2023-09-22,27.20,24.00,31.90,82.00,1.10
Nabunturan,2023-09-23,27.60,23.20,32.00,80.00,0.70
Nabunturan,2023-09-24,26.70,23.10,32.70,85.00,9.40
Nabunturan,2023-09-25,26.40,23.40,31.80,88.00,18.30
Nabunturan,2023-09-26,25.20,22.00,31.30,90.00,39.30
Nabunturan,2023-09-27,26.60,22.90,32.00,85.00,17.10
Nabunturan,2023-09-28,27.50,23.60,32.20,82.00,11.50
Nabunturan,2023-09-29,27.20,23.50,31.50,86.00,2.60
Nabunturan,2023-09-30,27.90,23.60,32.40,79.00,1.30
Nabunturan,2023-10-01,28.60,25.20,32.30,73.00,0.00
Nabunturan,2023-10-02,28.50,24.60,33.30,76.00,0.20
Nabunturan,2023-10-03,27.00,23.50,33.00,87.00,9.90
Nabunturan,2023-10-04,27.00,23.90,33.50,84.00,4.00
Nabunturan,2023-10-05,26.90,23.00,33.20,84.00,7.70
Nabunturan,2023-10-06,26.90,23.50,32.70,85.00,13.30
Nabunturan,2023-10-07,26.50,23.00,30.80,86.00,9.20
Nabunturan,2023-10-08,26.90,24.20,31.80,87.00,14.40
Nabunturan,2023-10-09,25.60,22.80,29.10,90.00,32.00
Nabunturan,2023-10-10,25.50,23.80,28.00,91.00,23.30
Nabunturan,2023-10-11,26.00,23.00,30.90,88.00,16.30
Nabunturan,2023-10-12,27.00,23.80,32.50,84.00,14.50
Nabunturan,2023-10-13,26.50,24.10,29.80,87.00,1.60
Nabunturan,2023-10-14,27.10,23.90,31.60,85.00,2.00
Nabunturan,2023-10-15,27.10,24.10,32.00,85.00,6.70
Nabunturan,2023-10-16,26.20,22.80,31.50,88.00,12.00
Nabunturan,2023-10-17,26.60,23.50,31.40,85.00,12.80
Nabunturan,2023-10-18,26.50,23.20,31.80,87.00,12.00
Nabunturan,2023-10-19,26.30,23.10,31.50,87.00,4.50
Nabunturan,2023-10-20,25.90,22.20,31.20,88.00,17.00
Nabunturan,2023-10-21,26.80,24.00,31.50,85.00,3.90
Nabunturan,2023-10-22,26.00,22.50,31.70,88.00,4.90
Nabunturan,2023-10-23,26.00,21.70,31.60,86.00,4.90
Nabunturan,2023-10-24,26.40,22.50,32.40,84.00,1.70
Nabunturan,2023-10-25,25.90,22.50,32.20,89.00,24.30
Nabunturan,2023-10-26,25.70,23.00,28.50,88.00,7.30
Nabunturan,2023-10-27,26.40,23.30,31.10,86.00,9.20
Nabunturan,2023-10-28,27.20,23.10,32.00,81.00,1.60
Nabunturan,2023-10-29,26.00,23.00,31.00,88.00,2.00
Nabunturan,2023-10-30,25.80,23.20,30.90,89.00,2.00
Nabunturan,2023-10-31,27.60,23.10,32.80,80.00,0.40
Nabunturan,2023-11-01,26.80,23.20,31.40,85.00,5.10
Nabunturan,2023-11-02,26.80,22.20,31.90,84.00,0.00
Nabunturan,2023-11-03,26.40,23.10,30.60,87.00,12.50
Nabunturan,2023-11-04,26.10,24.10,30.80,89.00,8.50
Nabunturan,2023-11-05,26.30,23.70,31.00,87.00,0.80
Nabunturan,2023-11-06,27.40,22.50,32.60,80.00,0.60
Nabunturan,2023-11-07,26.30,24.00,29.90,86.00,18.40
Nabunturan,2023-11-08,26.20,24.00,31.00,87.00,7.80
Nabunturan,2023-11-09,26.70,23.50,31.30,84.00,4.60
Nabunturan,2023-11-10,26.10,22.50,30.90,88.00,11.80
Nabunturan,2023-11-11,26.80,23.50,31.10,82.00,0.60
Nabunturan,2023-11-12,26.20,21.80,30.90,85.00,1.00
Nabunturan,2023-11-13,26.90,22.80,32.20,82.00,1.40
Nabunturan,2023-11-14,27.30,22.10,32.40,80.00,0.50
Nabunturan,2023-11-15,27.30,23.90,32.40,78.00,1.00
Nabunturan,2023-11-16,25.70,23.10,28.00,88.00,19.40
Nabunturan,2023-11-17,25.90,23.30,29.00,88.00,11.90
Nabunturan,2023-11-18,26.80,23.90,31.50,85.00,8.90
Nabunturan,2023-11-19,26.60,24.00,30.40,86.00,12.00
Nabunturan,2023-11-20,26.70,23.90,31.90,86.00,12.60
Nabunturan,2023-11-21,26.80,24.20,31.10,87.00,7.20
Nabunturan,2023-11-22,26.20,23.00,31.80,88.00,12.50
Nabunturan,2023-11-23,26.40,24.00,30.10,87.00,5.00
Nabunturan,2023-11-24,26.80,23.30,31.00,84.00,2.60
Nabunturan,2023-11-25,25.90,23.20,31.20,88.00,13.60
Nabunturan,2023-11-26,26.90,22.90,31.20,81.00,0.60
Nabunturan,2023-11-27,26.60,23.30,31.00,85.00,5.40
Nabunturan,2023-11-28,26.30,23.40,30.40,87.00,7.10
Nabunturan,2023-11-29,26.20,23.90,30.20,86.00,9.50
Nabunturan,2023-11-30,26.80,23.50,31.90,82.00,1.90
Nabunturan,2023-12-01,27.10,24.40,31.10,82.00,1.70
Nabunturan,2023-12-02,26.40,24.10,30.80,86.00,10.30
Nabunturan,2023-12-03,26.30,23.40,30.40,86.00,4.60
Nabunturan,2023-12-04,26.30,22.40,31.40,86.00,10.30
Nabunturan,2023-12-05,26.20,23.50,30.40,89.00,10.50
Nabunturan,2023-12-06,25.80,23.80,28.30,87.00,3.60
Nabunturan,2023-12-07,26.40,23.60,30.50,86.00,4.00
Nabunturan,2023-12-08,26.80,24.40,29.90,84.00,3.80
Nabunturan,2023-12-09,26.20,23.00,30.50,85.00,1.10
Nabunturan,2023-12-10,26.90,23.20,31.90,80.00,0.10
Nabunturan,2023-12-11,26.80,22.80,31.50,80.00,0.30
Nabunturan,2023-12-12,26.50,21.40,31.60,80.00,0.50
Nabunturan,2023-12-13,26.50,23.50,29.60,82.00,1.30
Nabunturan,2023-12-14,27.30,24.10,31.80,79.00,0.40
Nabunturan,2023-12-15,27.00,23.40,32.20,79.00,0.90
Nabunturan,2023-12-16,27.00,22.50,31.50,76.00,0.80
Nabunturan,2023-12-17,25.50,23.20,28.00,86.00,4.00
Nabunturan,2023-12-18,24.50,23.60,25.70,95.00,41.20
Nabunturan,2023-12-19,25.10,23.00,28.50,91.00,9.70
Nabunturan,2023-12-20,26.90,23.20,32.30,81.00,0.00
Nabunturan,2023-12-21,26.20,21.90,31.50,84.00,0.60
Nabunturan,2023-12-22,25.80,23.20,28.80,87.00,1.50
Nabunturan,2023-12-23,26.70,23.20,32.10,80.00,0.00
Nabunturan,2023-12-24,26.70,23.00,31.40,82.00,0.50
Nabunturan,2023-12-25,25.50,24.00,28.50,87.00,6.00
Nabunturan,2023-12-26,26.70,23.90,31.00,85.00,5.80
Nabunturan,2023-12-27,26.40,23.50,30.50,85.00,4.40
Nabunturan,2023-12-28,26.90,23.50,31.60,79.00,0.30
Nabunturan,2023-12-29,26.50,23.10,31.50,85.00,15.90
Nabunturan,2023-12-30,25.80,23.60,29.80,90.00,9.30
Nabunturan,2023-12-31,26.90,23.50,31.90,86.00,2.20
Nabunturan,2024-01-01,26.00,23.50,29.50,87.00,3.70
Nabunturan,2024-01-02,25.10,23.60,27.40,93.00,92.40
Nabunturan,2024-01-03,25.70,23.00,28.40,89.00,11.60
Nabunturan,2024-01-04,26.80,23.00,31.40,83.00,0.30
Nabunturan,2024-01-05,26.60,22.60,32.30,79.00,0.00
Nabunturan,2024-01-06,26.30,24.10,29.90,84.00,3.30
Nabunturan,2024-01-07,27.30,24.10,32.20,79.00,0.30
Nabunturan,2024-01-08,26.80,23.60,31.10,80.00,6.90
Nabunturan,2024-01-09,26.10,23.40,30.80,87.00,9.80
Nabunturan,2024-01-10,26.90,23.60,32.70,82.00,0.60
Nabunturan,2024-01-11,27.10,22.40,32.30,77.00,0.30
Nabunturan,2024-01-12,27.20,24.70,31.30,77.00,0.70
Nabunturan,2024-01-13,26.60,23.40,30.80,81.00,1.30
Nabunturan,2024-01-14,26.50,23.80,31.30,79.00,2.20
Nabunturan,2024-01-15,25.60,23.90,29.60,86.00,40.10
Nabunturan,2024-01-16,25.00,23.80,26.90,87.00,38.60
Nabunturan,2024-01-17,25.10,23.40,28.00,87.00,7.90
Nabunturan,2024-01-18,24.90,23.10,27.60,91.00,12.00
Nabunturan,2024-01-19,26.00,23.10,30.10,83.00,0.60
Nabunturan,2024-01-20,26.20,22.60,30.70,81.00,0.40
Nabunturan,2024-01-21,26.60,22.50,31.50,78.00,0.10
Nabunturan,2024-01-22,26.80,23.80,30.80,78.00,0.20
Nabunturan,2024-01-23,26.30,22.90,30.50,80.00,0.40
Nabunturan,2024-01-24,25.70,21.60,30.50,83.00,1.50
Nabunturan,2024-01-25,25.80,23.10,30.40,79.00,1.30
Nabunturan,2024-01-26,25.30,23.20,28.40,82.00,10.40
Nabunturan,2024-01-27,24.80,21.90,28.80,76.00,0.60
Nabunturan,2024-01-28,24.80,23.00,27.30,80.00,0.30
Nabunturan,2024-01-29,24.30,23.50,25.90,91.00,23.30
Nabunturan,2024-01-30,24.90,23.00,28.60,90.00,74.80
Nabunturan,2024-01-31,24.20,23.20,25.60,94.00,40.70
Nabunturan,2024-02-01,24.80,23.40,27.20,92.00,25.90
Nabunturan,2024-02-02,26.10,23.40,30.50,86.00,5.10
Nabunturan,2024-02-03,26.20,22.50,30.40,82.00,0.20
Nabunturan,2024-02-04,25.90,23.60,28.70,85.00,4.20
Nabunturan,2024-02-05,26.30,22.60,31.00,78.00,0.60
Nabunturan,2024-02-06,25.10,22.20,27.90,86.00,2.20
Nabunturan,2024-02-07,24.90,23.10,27.90,90.00,11.90
Nabunturan,2024-02-08,25.00,23.10,27.20,89.00,3.00
Nabunturan,2024-02-09,25.90,22.30,30.10,80.00,0.60
Nabunturan,2024-02-10,26.30,22.60,30.80,77.00,0.30
Nabunturan,2024-02-11,25.10,23.50,27.50,82.00,7.30
Nabunturan,2024-02-12,26.10,23.40,30.60,76.00,0.50
