barangay_id,barangay_name,municipality,DENGUE,ILI,AWD,total
201,Doña Josefa,Laak,33,10,17,60
169,Manat,Nabunturan,26,13,20,59
210,Kiokmay,Laak,32,10,17,59
204,Imelda,Laak,21,15,23,59
225,Santo Niño,Laak,26,12,21,59
187,Aguinaldo,Laak,23,19,17,59
115,Santa Maria,Montevista,20,22,16,58
100,Canidkid,Montevista,25,11,22,58
174,Ogao,Nabunturan,19,22,17,58
206,Kaligutan,Laak,17,17,24,58
197,Cebulida,Laak,22,22,13,57
101,Concepcion,Montevista,22,16,19,57
200,Datu Davao,Laak,16,18,23,57
219,Naga,Laak,21,21,15,57
175,Pangutosan,Nabunturan,22,15,19,56
116,Tapasan,Montevista,22,17,17,56
279,Libay-libay,Maco,21,19,16,56
270,Calabcab,Maco,22,15,18,55
170,Matilo,Nabunturan,17,14,24,55
191,Anitap,Laak,21,19,15,55
266,Anislagan,Maco,17,22,16,55
195,Binasbas,Laak,19,12,24,55
192,Bagong Silang,Laak,20,19,16,55
178,San Roque,Nabunturan,19,22,13,54
296,Poblacion,Maco,22,14,18,54
299,Sangab,Maco,13,18,23,54
223,San Antonio,Laak,19,17,18,54
220,New Bethlehem,Laak,23,14,17,54
268,Buanan,Maco,15,16,23,54
282,Magangit,Maco,15,18,21,54
177,San Isidro,Nabunturan,23,17,14,54
288,New Asturias,Maco,19,15,20,54
171,Mipangi,Nabunturan,12,19,22,53
271,Concepcion,Maco,20,13,20,53
183,Tagnocon,Nabunturan,14,19,20,53
287,Masara,Maco,18,18,17,53
203,Il Papa,Laak,24,13,15,52
267,Binuangan,Maco,17,18,17,52
283,Mainit,Maco,16,10,26,52
278,Lapu-lapu,Maco,20,12,20,52
173,New Sibonga,Nabunturan,22,16,13,51
161,Cabacungan,Nabunturan,16,15,20,51
292,Panangan,Maco,18,15,18,51
222,Sabud,Laak,23,12,15,50
162,Cabidianan,Nabunturan,15,17,18,50
291,New Visayas,Maco,14,18,18,50
179,San Vicente,Nabunturan,14,20,15,49
215,Macopa,Laak,23,14,12,49
275,Hijo,Maco,9,19,21,49
273,Elizalde (Somil),Maco,14,17,18,49
302,Teresa,Maco,17,15,16,48
211,Laak (Poblacion),Laak,21,15,12,48
189,Ampawid,Laak,12,13,23,48
301,Taglawig,Maco,10,15,22,47
298,San Roque,Maco,12,12,23,47
286,Mapaang,Maco,11,19,17,47
274,Gubatan,Maco,18,13,16,47
217,Mangloy,Laak,22,12,12,46
289,New Barili,Maco,10,14,22,46
213,Longanapan,Laak,22,9,15,46
272,Dumlan,Maco,14,13,19,46
295,Pangi (Gaudencio Antonio),Maco,17,16,12,45
306,Vacolan,Maco,16,10,19,45
277,Langgam,Maco,10,15,20,45
303,Ubalaz,Maco,14,14,16,44
112,Prosperidad,Montevista,16,16,12,44
212,Langtud,Laak,17,14,13,44
168,Mainit,Nabunturan,19,16,8,43
172,New Dauis,Nabunturan,17,13,13,43
307,Vancezo,Maco,15,15,13,43
304,Unangian,Maco,17,6,19,42
297,San Juan,Maco,15,11,15,41
305,Uracia,Maco,13,16,11,40
208,Kidawa,Laak,21,9,10,40
176,Poblacion,Nabunturan,18,11,10,39
276,Kinuban,Maco,8,16,15,39
281,Lumatab,Maco,8,14,17,39
218,Melale,Laak,13,16,10,39
285,Manipongol,Maco,20,7,11,38
265,Anibongan,Maco,14,10,14,38
216,Malinao,Laak,14,15,9,38
284,Malamodao,Maco,11,10,9,30
300,Tagbaros,Maco,7,11,12,30
